episode_reward,step
-30.915440636424336,70
-42.53018550886749,140
-36.77524028677582,210
-34.33863604279891,280
-57.05674976601405,350
-32.321055565713834,420
-61.738630486899496,490
-48.960669152070615,560
-38.44684742053403,630
-43.01773173209448,700
-73.18422012984415,770
-13.361189737761698,786
-61.83943370581555,856
-3.4979082295176953,857
-39.55161371489823,927
-31.487296935398597,997
-50.733478444825465,1067
-44.80756101656758,1137
-40.17561948099184,1207
-36.18289272938563,1277
-33.40126080775171,1347
-35.124824659426245,1417
-46.94981819063177,1487
-37.77245640054132,1557
-64.1922293540792,1627
-34.53374349700407,1697
-37.5016693789764,1767
-37.66450590348343,1837
-41.42850471858527,1907
-42.3851628770385,1977
-37.834941890732836,2047
-41.55393004836643,2117
-40.81820314804761,2187
-40.145199406187935,2257
-42.172568321480824,2327
-42.94165852341713,2397
-46.49371441276312,2467
-37.79919372088459,2537
-3.078241374529769,2538
-38.171920575640584,2608
-39.715141790729355,2678
-47.1279194964993,2748
-35.548450752434455,2818
-37.88087950166393,2888
-41.49847354275854,2958
-38.489025009126784,3028
-49.522609577655764,3098
-34.94586422272025,3168
-37.0116963512734,3238
-38.45820329777249,3308
-33.12764052655238,3378
-35.35837353388083,3448
-43.38318690095465,3518
-41.77724385993476,3588
-37.96737744079433,3658
-39.6348137739518,3728
-41.233325552897924,3798
-32.88972928358121,3868
-50.6578908541407,3938
-55.70615872581151,4008
-39.29864305279204,4078
-52.00652224781261,4148
-52.41015264384684,4218
-40.05683629242172,4288
-52.461123907759685,4358
-31.368379660842976,4428
-35.66300007019102,4498
-48.02682263985653,4568
-70.04383519413335,4638
-41.22303748589733,4708
-3.504421546050189,4709
-38.66765722256123,4779
-44.638183042677994,4849
-42.71947861910769,4919
-72.06956486989165,4989
-30.85198937319261,5059
-34.80097823113516,5129
-39.56669983054711,5199
-33.16502722728767,5269
-47.745390882789366,5339
-35.253727467422834,5409
-34.376281118275315,5479
-46.81050590017932,5549
-52.87143881391273,5619
-51.53844946010791,5689
-39.75813808088872,5759
-48.22433484309982,5829
-43.727135535306786,5899
-33.852622628938235,5969
-39.849691494393305,6039
-3.6980833537984243,6040
-36.49809609726929,6110
-30.890619899451874,6180
-37.33896299177862,6250
-38.43446575482132,6320
-40.64291111267427,6390
-36.9706988499741,6460
-34.61005749595181,6530
-34.207045497081424,6600
-53.96112179998594,6670
-63.80770846647649,6740
-55.91213889776399,6810
-38.746450539009,6880
-43.085309696244884,6950
-39.29528395640352,7020
-38.22638399631019,7090
-33.12171730833353,7160
-45.18317258785962,7230
-49.90771091056913,7300
-42.78012249193359,7370
-49.376473243475445,7440
-40.24200983599019,7510
-48.2768217849709,7580
-52.22639407767929,7650
-34.93117003515446,7720
-3.079421008247565,7721
-32.19627894297554,7791
-53.43273654210926,7861
-50.100533355481815,7931
-44.644315744590244,8001
-41.83246194682745,8071
-35.93462175113809,8141
-41.657206536699995,8211
-49.32977446763063,8281
-29.49683785701856,8351
-38.460461017659085,8421
-35.74395371243536,8491
-44.24190429311761,8561
-31.41278445801736,8631
-43.68717609570867,8701
-61.272152282928,8771
-40.501728302930125,8841
-54.82510716018438,8911
-43.30834350342239,8981
-38.693690201253034,9051
-45.76595297471644,9121
-62.92264506611901,9191
-31.80821854919539,9261
-43.285219509244534,9331
-44.837761730012105,9401
-38.865016779612624,9471
-55.89349221116465,9541
-38.277981984784326,9611
-40.707206204040084,9681
-35.24381618015552,9751
-71.42395954669267,9821
-44.69835142348517,9891
-3.503333983678546,9892
-46.566399790108726,9962
-41.30982301829088,10032
-41.70831053198217,10102
-47.30975658491361,10172
-40.76956528790255,10242
-41.51479826578653,10312
-35.22398229732196,10382
-38.48688405828095,10452
-52.41339587709251,10522
-35.094856797762425,10592
-37.076444029616155,10662
-33.41471187311407,10732
-40.25685845041647,10802
-46.86501828406382,10872
-53.6584717646259,10942
-35.01871227686608,11012
-45.41816727929384,11082
-54.36983575917628,11152
-48.823479371666245,11222
-3.6983445810640516,11223
-42.59216456019498,11293
-33.45427867693891,11363
-37.348331915915175,11433
-40.05670371370487,11503
-41.79933459783165,11573
-37.88008201331439,11643
-34.62801969152969,11713
-41.64594558335032,11783
-58.59839934417531,11853
-57.13656862841944,11923
-74.62119490946546,11993
-39.790839752967415,12063
-35.151920661590104,12133
-45.627346965074985,12203
-31.321568049257177,12273
-31.29446946683549,12343
-34.51098766204443,12413
-55.77249773713989,12483
