mode,ablation_group,fuel_l_per_100km,gap_rmse,jerk_rmse,soc_dev_rmse,valid_episode_ratio,avg_reward_w_energy,avg_reward_w_safe,avg_viol_upper,avg_viol_lower,metric_valid,paper_valid,infer_time_ms,fuel_improve_vs_no_pred_pct
no_prediction,info,6.5669047614044,14.2059221948357,0.5252698330376504,0.01508870710915873,1.0,0.5,0.5,0.021848739495798318,0.03529411764705882,True,True,0.5775552100654566,0.0
mean_prediction,info,7.442894125691899,14.654321331998842,0.5564892494812517,0.013730169073183158,1.0,0.5,0.5,0.019327731092436976,0.040336134453781515,True,True,1.294280419726817,-13.339455894593472
pa_csac,info,5.769868540863301,15.047411177539443,0.4089167633625997,0.015776580632298465,1.0,0.5,0.5,0.019327731092436976,0.02689075630252101,True,True,0.5580886558653051,12.137167348999974
pa_csac_no_adaptive,info,5.2568514581093675,11.593846745636233,0.36032643990548086,0.016220304819638445,0.9411764705882353,0.5,0.5,0.014285714285714285,0.020535714285714286,True,True,0.5808736598867524,19.94932697965402
mechanism_pa_adaptive,mechanism,6.807399787176169,14.689465789851042,0.49189719789887065,0.014176542490805948,1.0,0.5433797453556812,0.4566202546443188,0.0226890756302521,0.037815126050420166,True,True,0.5861801691568542,-3.6622280131916596
mechanism_w_o_adaptive_weights,mechanism,5.099734391918819,15.850086385616034,0.43858587121530884,0.017233229897280794,1.0,0.5,0.5,0.020168067226890758,0.0058823529411764705,True,True,0.9051625206460002,22.34188590808513
mechanism_w_o_dyn_dsafe,mechanism,6.692842822180063,16.22783976050066,0.5039734347505935,0.01433458865281619,1.0,0.5433797453556812,0.4566202546443188,0.019327731092436976,0.03613445378151261,True,True,0.5814872260945028,-1.917768954345702
mechanism_w_o_ada_and_dsafe,mechanism,7.6396975805135465,14.859167105059651,0.6366688266054916,0.014166668834947316,1.0,0.5,0.5,0.019327731092436976,0.05042016806722689,True,True,0.6292943695477922,-16.336354159028776
