case,algo,score,metric_valid,w_energy,w_safe,w_comfort,w_soc
0,ACC,1.1500000000000001,1.0,0.4,0.4,0.15,0.05
0,MPC,1.219004834112721,1.0,0.4,0.4,0.15,0.05
0,LQR,1.2106770584728255,1.0,0.4,0.4,0.15,0.05
0,IDM,0.8970883432123693,1.0,0.4,0.4,0.15,0.05
0,DDPG,,0.0,0.4,0.4,0.15,0.05
0,TD3,,0.0,0.4,0.4,0.15,0.05
0,SAC,,0.0,0.4,0.4,0.15,0.05
0,PPO,1.2260313153474047,1.0,0.4,0.4,0.15,0.05
0,PA-CSAC,,0.0,0.4,0.4,0.15,0.05
1,ACC,1.1500000000000001,1.0,0.5,0.3,0.15,0.05
1,MPC,1.239441667704085,1.0,0.5,0.3,0.15,0.05
1,LQR,1.2163995780164076,1.0,0.5,0.3,0.15,0.05
1,IDM,0.8820421886012446,1.0,0.5,0.3,0.15,0.05
1,DDPG,,0.0,0.5,0.3,0.15,0.05
1,TD3,,0.0,0.5,0.3,0.15,0.05
1,SAC,,0.0,0.5,0.3,0.15,0.05
1,PPO,1.2174236794629378,1.0,0.5,0.3,0.15,0.05
1,PA-CSAC,,0.0,0.5,0.3,0.15,0.05
2,ACC,1.1500000000000001,1.0,0.3,0.5,0.15,0.05
2,MPC,1.1985680005213575,1.0,0.3,0.5,0.15,0.05
2,LQR,1.2049545389292433,1.0,0.3,0.5,0.15,0.05
2,IDM,0.9121344978234939,1.0,0.3,0.5,0.15,0.05
2,DDPG,,0.0,0.3,0.5,0.15,0.05
2,TD3,,0.0,0.3,0.5,0.15,0.05
2,SAC,,0.0,0.3,0.5,0.15,0.05
2,PPO,1.2346389512318716,1.0,0.3,0.5,0.15,0.05
2,PA-CSAC,,0.0,0.3,0.5,0.15,0.05
3,ACC,1.1,1.0,0.45,0.35,0.1,0.1
3,MPC,1.1606290764391662,1.0,0.45,0.35,0.1,0.1
3,LQR,1.1608855441508958,1.0,0.45,0.35,0.1,0.1
3,IDM,0.8571733224329151,1.0,0.45,0.35,0.1,0.1
3,DDPG,,0.0,0.45,0.35,0.1,0.1
3,TD3,,0.0,0.45,0.35,0.1,0.1
3,SAC,,0.0,0.45,0.35,0.1,0.1
3,PPO,1.1481895409291867,1.0,0.45,0.35,0.1,0.1
3,PA-CSAC,,0.0,0.45,0.35,0.1,0.1
4,ACC,1.1,1.0,0.35,0.45,0.1,0.1
4,MPC,1.1401922428478026,1.0,0.35,0.45,0.1,0.1
4,LQR,1.1551630246073137,1.0,0.35,0.45,0.1,0.1
4,IDM,0.8722194770440396,1.0,0.35,0.45,0.1,0.1
4,DDPG,,0.0,0.35,0.45,0.1,0.1
4,TD3,,0.0,0.35,0.45,0.1,0.1
4,SAC,,0.0,0.35,0.45,0.1,0.1
4,PPO,1.1567971768136538,1.0,0.35,0.45,0.1,0.1
4,PA-CSAC,,0.0,0.35,0.45,0.1,0.1
5,ACC,1.2000000000000002,1.0,0.4,0.3,0.2,0.1
5,MPC,1.2850169375230855,1.0,0.4,0.3,0.2,0.1
5,LQR,1.2711418888479407,1.0,0.4,0.3,0.2,0.1
5,IDM,0.9618015795765843,1.0,0.4,0.3,0.2,0.1
5,DDPG,,0.0,0.4,0.3,0.2,0.1
5,TD3,,0.0,0.4,0.3,0.2,0.1
5,SAC,,0.0,0.4,0.3,0.2,0.1
5,PPO,1.2575097954776686,1.0,0.4,0.3,0.2,0.1
5,PA-CSAC,,0.0,0.4,0.3,0.2,0.1
6,ACC,1.2000000000000002,1.0,0.3,0.4,0.2,0.1
6,MPC,1.264580103931722,1.0,0.3,0.4,0.2,0.1
6,LQR,1.2654193693043585,1.0,0.3,0.4,0.2,0.1
6,IDM,0.976847734187709,1.0,0.3,0.4,0.2,0.1
6,DDPG,,0.0,0.3,0.4,0.2,0.1
6,TD3,,0.0,0.3,0.4,0.2,0.1
6,SAC,,0.0,0.3,0.4,0.2,0.1
6,PPO,1.2661174313621355,1.0,0.3,0.4,0.2,0.1
6,PA-CSAC,,0.0,0.3,0.4,0.2,0.1
