episode_reward,step
-55.670652000741654,70
-36.39335302707551,140
-44.13418809819613,210
-51.0512995930562,280
-40.62819602052223,350
-41.04805323348039,420
-49.037641973172605,490
-41.692552218105796,560
-51.33766432784581,630
-39.997787852565565,700
-56.18186576682546,770
-15.184453993131562,789
-57.65882693765221,859
-3.6947036920060485,860
-42.21814742301111,930
-33.28175861753496,1000
-39.649860025348616,1070
-39.30071523072281,1140
-43.57589816437515,1210
-36.86269326793926,1280
-35.517120742421476,1350
-30.12290575935641,1420
-53.876842942182655,1490
-42.367013912846474,1560
-46.19438009998743,1630
-55.72306425479259,1700
-35.668885711298735,1770
-42.222357536338954,1840
-34.26499819820601,1910
-42.50003929572388,1980
-26.307412673516115,2050
-89.3938744448334,2120
-35.577650921381725,2190
-74.21316434805344,2260
-30.2135864948975,2330
-67.45718886500767,2400
-84.75655603548327,2470
-25.697145175160408,2540
-3.030145202266939,2541
-22.49405808716029,2611
-49.41227724838287,2681
-58.56415867367892,2741
-62.76297686372288,2811
-59.8814880181607,2881
-59.15977791703939,2951
-29.956567785710888,3021
-62.13525834191856,3091
-36.028078536277086,3161
-24.07249783065611,3231
-38.80087988081713,3301
-52.55977742669008,3348
-27.590155846454444,3418
-78.21182012366893,3488
-57.12905086338415,3558
-55.93450741430565,3628
-86.89601825479753,3698
-61.71192844010991,3768
-40.075057092106526,3838
-94.8433389709496,3908
-50.615526346995175,3978
-51.69878019612455,4048
-44.280918264330495,4118
-64.65400228938041,4188
-53.73391960326514,4258
-53.531552419835535,4328
-33.99643153634697,4398
-48.241587181134264,4468
-64.87130466470346,4538
-32.08535947609973,4553
-39.63716795219829,4623
-3.4974059980644396,4624
-48.29926937784077,4694
-33.082037298602415,4764
-70.54803797366215,4834
-78.92108055249096,4904
-28.34239893739264,4974
-30.409189933170847,5044
-44.8503625763847,5114
-49.87683189255869,5184
-56.14035273284587,5254
-43.44828928105911,5302
-43.574027603391386,5372
-24.668330170095185,5442
-38.29534545991992,5512
-77.17956951665568,5582
-64.95490208654337,5652
-57.68656620927522,5722
-56.51340178803874,5792
-26.371460715877017,5827
-74.55791983270429,5897
-3.6968679694436575,5898
-83.38389877293481,5968
-58.30193789043473,6038
-74.17617328930031,6108
-64.31734580391995,6178
-35.82985722453018,6248
-29.960847087289316,6318
-26.072066795707716,6388
-20.763181725812174,6458
-62.26887448017195,6528
-46.69086817206989,6598
-56.528934266901686,6668
-57.02072927525538,6738
-33.20576414741756,6808
-35.16799170444477,6878
-64.27526238535653,6947
-45.111865572955416,7017
-37.87940757911241,7087
-58.84810494549766,7157
-41.90857956310952,7227
-68.66446254274283,7297
-30.30925164161704,7367
-62.33059570796903,7437
-80.79262999164432,7507
-21.57067474543198,7577
-2.544584485199325,7578
-21.923639632119936,7648
-46.657209581152834,7718
-51.23575342627073,7788
-34.36132336868278,7858
-68.47124218097703,7928
-58.4621891941945,7998
-51.48839374112504,8068
-45.74492371111914,8138
-39.8407892033272,8208
-26.56243260062869,8278
-54.06574793406623,8348
-41.27511323361479,8418
-19.936587479208033,8488
-60.47105443404918,8558
-35.3489165872016,8628
-43.31962177917396,8698
-56.981332997307916,8768
-47.565891796443424,8838
-31.519884292544653,8908
-51.905072305354494,8978
-57.083366340082065,9048
-52.98536066252865,9118
-83.43617743356796,9188
-48.98263429787905,9258
-44.03311605633549,9328
-56.10971914531716,9398
-45.93318272400665,9468
-55.30739512982331,9538
-51.63875164686152,9608
-66.64664557213939,9678
-65.40136313914624,9748
-3.50437808272698,9749
-38.12438669751472,9819
-34.505909017892755,9889
-61.960666250014846,9959
-56.91002272501537,10029
-35.193950399532575,10099
-28.62514665907459,10169
-41.282742657374556,10239
-31.87121388013445,10309
-45.76547539095425,10379
-39.8844820431783,10449
-42.55285253366305,10519
-46.43820408668874,10589
-56.19849838874176,10659
-55.382290094180455,10729
-40.250368357987384,10799
-33.12872698814215,10869
-50.445774580801384,10939
-15.40961855212668,10956
-70.04005852565032,11026
-3.673366477452332,11027
-43.946214680211725,11097
-46.05138856258014,11167
-57.847406724734306,11237
-36.60587004932947,11307
-34.85935530635801,11377
-28.107357229587556,11447
-39.65353652180905,11517
-24.738589310379616,11587
-45.78301160790838,11657
-70.24192182692273,11727
-87.70602902111055,11797
-41.80529157696093,11867
-52.7511787802312,11937
-51.39118456855322,12007
-75.65202612742665,12077
-44.55870382069073,12147
-27.019832465060745,12217
-44.05619609660533,12287
-35.976193270142254,12357
-41.62919820152128,12427
-32.242597001379785,12497
-43.58982044456718,12567
-59.49319897346124,12637
-30.06061385657058,12707
-3.079711519143942,12708
-27.595894944639916,12778
-38.50636717206772,12848
-63.15641008500983,12918
-49.329289457857,12988
-35.07872125570535,13058
-52.298085951360804,13128
-32.05051770666705,13198
-43.971694581707624,13268
-59.394561717157096,13338
-25.94780572326887,13408
-46.25915722847848,13478
-49.469287396735695,13548
-23.530723742262644,13618
-45.549776420397535,13688
-54.593587223657366,13758
-41.86362147881154,13828
-53.517904167453686,13898
-58.744102630046235,13968
-39.75029477911601,14038
-45.42111998928682,14108
-77.08718233988449,14178
-47.85167484449867,14248
-48.18123486390585,14318
-41.97520382656768,14388
-32.25761773884957,14458
-40.26247603899098,14528
-52.05443900067781,14598
-63.617913728309965,14668
-47.34357289504939,14738
-72.48238132401525,14808
-54.712758149167946,14878
-3.5039434507646434,14879
-50.76967436279118,14949
-36.32498801155,15019
-49.66094181960762,15089
-54.065734513148335,15159
-44.050159277132,15229
-31.267604080154165,15299
-25.056906250985588,15369
-48.293832095605886,15439
-57.2643044515658,15509
-43.91505772498213,15579
-38.850457000795245,15649
-36.56402991998217,15719
-49.56210524926438,15789
-51.963839956294144,15859
-43.73635040458291,15929
-31.115043394310195,15999
-45.24338961097824,16069
-14.311205653069894,16089
-55.024701738167295,16159
-3.691185856983137,16160
-60.85394847686371,16230
-38.49231463953154,16300
-44.76335195048562,16370
-54.94281343773883,16440
-37.262169009806314,16510
-33.678458404362075,16580
-37.58706134313157,16650
-19.91690884980956,16720
-56.429810716272286,16790
-55.33227349654798,16860
-69.9699808361681,16930
-57.02462879521638,17000
-56.87523905525441,17070
-50.15113591976974,17140
-56.84981633795654,17210
-33.60186401895866,17280
-58.789189212558085,17350
-43.841232862090195,17420
-51.0317296761923,17490
-44.40182154631604,17560
-45.38877618879432,17630
-45.37157543486629,17700
-64.66655460837497,17770
-38.22944342055603,17840
-3.0800293196167345,17841
-23.19044747038554,17911
-40.577834920785676,17981
-48.03768876468479,18051
-41.05373951419739,18121
-57.80048173490986,18191
-62.927122638841524,18261
-27.81506645217259,18331
-43.443719025689234,18401
-38.849518230353915,18471
-34.81123130081215,18541
-49.54616029044647,18611
-51.823790453300816,18681
-17.469261209397146,18751
-60.74953828791481,18821
-42.730802744480606,18891
-57.968377133484026,18961
-53.20334353519031,19031
-41.836206098955856,19101
-51.32920199079577,19171
-44.66668377752247,19241
-53.7832504543069,19311
-83.87086414600563,19381
-42.6064540333336,19451
-50.515345432953005,19521
-45.45672751142039,19591
-59.417957742025706,19661
-40.33245782310825,19731
-52.37995097637885,19801
-68.71934226161356,19871
-94.87897469699672,19941
-63.2501310673046,20011
-3.5035566507355855,20012
-45.15423560444574,20082
-66.03227432114683,20152
-66.89411440368033,20222
-63.944536650454154,20292
-48.084942145339824,20362
-42.05463171148988,20432
-33.57866346296999,20502
-29.951070717178613,20572
-39.8064935297474,20642
-67.24029649361685,20712
-47.25886715699807,20782
-33.693397081550046,20852
-60.43996315692932,20922
-69.89094513736839,20992
-38.84346457417284,21062
-29.037572507573827,21132
-53.3872549156719,21202
-19.260358715443623,21223
-41.140557443925424,21293
-3.6868173788017367,21294
-34.439387898235104,21364
-49.27742068292375,21434
-41.57300255053137,21504
-52.602520973749904,21574
-37.4963922248554,21644
-38.756652623376645,21714
-31.94612261121398,21784
-28.646887425451677,21854
-54.56374179613129,21924
-57.273590422020774,21994
-51.81196678081618,22064
-59.04026141889707,22134
-55.20381338701651,22204
-70.57009532971715,22274
-38.196521614127974,22344
-55.91507169505486,22414
-34.85602390229615,22484
-40.00481960305502,22519
-41.68983057408851,22589
-38.57276938936498,22659
-33.41162062310736,22729
-67.37873223109521,22799
-51.96651565969297,22869
-30.587239464837385,22939
-3.080084731171326,22940
-22.1517103725839,23010
-47.79693815076411,23080
