case_group,case_label,n_seeds,fuel_l_per_100km_mean,fuel_l_per_100km_std,gap_rmse_mean,gap_rmse_std,jerk_rmse_mean,jerk_rmse_std,violation_rate_mean,violation_rate_std,valid_episode_ratio_mean,valid_episode_ratio_std
follow_far_coef,follow_far_coef_x0.5,5,4.8893555312981505,0.6981512792263388,15.076763557407673,1.6854602275677946,0.38359453389330833,0.11467867306471062,0.011176470588235269,0.006172324681833232,0.976470588235294,0.03221897397089216
follow_far_coef,follow_far_coef_x1.0,5,5.565865208793658,1.66108870595027,13.457953779111628,1.4828504187004459,0.4375716407325337,0.18802294873112418,0.018408902022347386,0.019288758313150665,0.8705882352941176,0.0966569219126764
follow_far_coef,follow_far_coef_x1.5,5,6.151628243548413,1.339050109780053,15.056254156959051,2.860869877536329,0.5350192981682959,0.09631063505340577,0.020384153661464566,0.011947763657073016,0.9294117647058823,0.0966569219126764
k_sigma_dsafe,k_sigma_dsafe_x0.5,5,5.681339429658032,1.4297446495619097,14.817170372402359,1.182511870750135,0.4681899019406022,0.11685581317826389,0.01755742296918766,0.015184791016346191,0.9294117647058823,0.06443794794178427
k_sigma_dsafe,k_sigma_dsafe_x1.0,5,5.49195715119639,1.089947309760241,16.418934899188596,1.1712332669205439,0.42337089831608055,0.12386734707781884,0.01899159663865545,0.015705520406240764,0.9882352941176471,0.026306682088232825
k_sigma_dsafe,k_sigma_dsafe_x1.5,5,6.555765116949189,2.282523890984011,15.031202151860247,1.4950741521242406,0.5697702744898004,0.1765001865403663,0.026930672268907562,0.023236571967080275,0.9529411764705882,0.049215295678475046
shield_cost_scale,shield_cost_scale_x0.5,5,6.4643366235904525,1.2522843527073677,14.313883379859954,0.6391690986145203,0.5145005183234606,0.08718336648610815,0.024523809523809524,0.01715417574568629,0.9647058823529411,0.05261336417646565
shield_cost_scale,shield_cost_scale_x1.0,5,7.227327583181582,2.414579913136254,15.467108626556941,2.170625911304986,0.6064989428510116,0.16549949558230295,0.042417466986794716,0.0275087834464932,0.9411764705882353,0.07204381596421114
shield_cost_scale,shield_cost_scale_x1.5,5,6.567110327045891,1.7797814920876518,15.050653415561907,1.0999340808728308,0.5266242356126285,0.15053545653750997,0.025959383753501396,0.021063830942864972,0.9411764705882353,0.05882352941176472
