case,algo,score,metric_valid,w_energy,w_safe,w_comfort,w_soc
0,ACC,1.1500000000000001,1.0,0.4,0.4,0.15,0.05
0,MPC,1.4546860130037822,1.0,0.4,0.4,0.15,0.05
0,LQR,1.315815006147643,1.0,0.4,0.4,0.15,0.05
0,IDM,0.8441613842663522,1.0,0.4,0.4,0.15,0.05
0,DDPG,0.22658343971438788,1.0,0.4,0.4,0.15,0.05
0,TD3,0.24265796891440158,1.0,0.4,0.4,0.15,0.05
0,SAC,0.20824079330861595,1.0,0.4,0.4,0.15,0.05
0,PPO,1.7258531809095963,1.0,0.4,0.4,0.15,0.05
0,PA-CSAC,0.5946767380255639,1.0,0.4,0.4,0.15,0.05
1,ACC,1.1500000000000001,1.0,0.5,0.3,0.15,0.05
1,MPC,1.4259498804135864,1.0,0.5,0.3,0.15,0.05
1,LQR,1.3049155856089176,1.0,0.5,0.3,0.15,0.05
1,IDM,0.8549838804459942,1.0,0.5,0.3,0.15,0.05
1,DDPG,0.24854237873553067,1.0,0.5,0.3,0.15,0.05
1,TD3,0.26060502344579844,1.0,0.5,0.3,0.15,0.05
1,SAC,0.23372778498584618,1.0,0.5,0.3,0.15,0.05
1,PPO,1.6226636944995025,1.0,0.5,0.3,0.15,0.05
1,PA-CSAC,0.6060095038176448,1.0,0.5,0.3,0.15,0.05
2,ACC,1.1500000000000001,1.0,0.3,0.5,0.15,0.05
2,MPC,1.4834221455939778,1.0,0.3,0.5,0.15,0.05
2,LQR,1.3267144266863684,1.0,0.3,0.5,0.15,0.05
2,IDM,0.8333388880867101,1.0,0.3,0.5,0.15,0.05
2,DDPG,0.20462450069324511,1.0,0.3,0.5,0.15,0.05
2,TD3,0.22471091438300467,1.0,0.3,0.5,0.15,0.05
2,SAC,0.18275380163138571,1.0,0.3,0.5,0.15,0.05
2,PPO,1.8290426673196898,1.0,0.3,0.5,0.15,0.05
2,PA-CSAC,0.5833439722334827,1.0,0.3,0.5,0.15,0.05
3,ACC,1.1,1.0,0.45,0.35,0.1,0.1
3,MPC,1.3748165842150797,1.0,0.45,0.35,0.1,0.1
3,LQR,1.2495056869631653,1.0,0.45,0.35,0.1,0.1
3,IDM,0.8159890726221843,1.0,0.45,0.35,0.1,0.1
3,DDPG,0.28081025175586194,1.0,0.45,0.35,0.1,0.1
3,TD3,0.2950293719039919,1.0,0.45,0.35,0.1,0.1
3,SAC,0.2695933938514582,1.0,0.45,0.35,0.1,0.1
3,PPO,1.6007637329166255,1.0,0.45,0.35,0.1,0.1
3,PA-CSAC,0.5906848056413848,1.0,0.45,0.35,0.1,0.1
4,ACC,1.1,1.0,0.35,0.45,0.1,0.1
4,MPC,1.4035527168052755,1.0,0.35,0.45,0.1,0.1
4,LQR,1.2604051075018907,1.0,0.35,0.45,0.1,0.1
4,IDM,0.8051665764425423,1.0,0.35,0.45,0.1,0.1
4,DDPG,0.2588513127347191,1.0,0.35,0.45,0.1,0.1
4,TD3,0.27708231737259503,1.0,0.35,0.45,0.1,0.1
4,SAC,0.24410640217422794,1.0,0.35,0.45,0.1,0.1
4,PPO,1.7039532193267193,1.0,0.35,0.45,0.1,0.1
4,PA-CSAC,0.5793520398493037,1.0,0.35,0.45,0.1,0.1
5,ACC,1.2000000000000002,1.0,0.4,0.3,0.2,0.1
5,MPC,1.4714564857922032,1.0,0.4,0.3,0.2,0.1
5,LQR,1.3533268399590044,1.0,0.4,0.3,0.2,0.1
5,IDM,0.9336876571144263,1.0,0.4,0.3,0.2,0.1
5,DDPG,0.2975809527947476,1.0,0.4,0.3,0.2,0.1
5,TD3,0.30979178217075454,1.0,0.4,0.3,0.2,0.1
5,SAC,0.28569175896057697,1.0,0.4,0.3,0.2,0.1
5,PPO,1.6667447251239529,1.0,0.4,0.3,0.2,0.1
5,PA-CSAC,0.6707704178140738,1.0,0.4,0.3,0.2,0.1
6,ACC,1.2000000000000002,1.0,0.3,0.4,0.2,0.1
6,MPC,1.500192618382399,1.0,0.3,0.4,0.2,0.1
6,LQR,1.3642262604977298,1.0,0.3,0.4,0.2,0.1
6,IDM,0.9228651609347841,1.0,0.3,0.4,0.2,0.1
6,DDPG,0.27562201377360485,1.0,0.3,0.4,0.2,0.1
6,TD3,0.29184472763935765,1.0,0.3,0.4,0.2,0.1
6,SAC,0.26020476728334674,1.0,0.3,0.4,0.2,0.1
6,PPO,1.7699342115340468,1.0,0.3,0.4,0.2,0.1
6,PA-CSAC,0.6594376520219927,1.0,0.3,0.4,0.2,0.1
