mode,ablation_group,fuel_l_per_100km,gap_rmse,jerk_rmse,soc_dev_rmse,valid_episode_ratio,avg_reward_w_energy,avg_reward_w_safe,avg_viol_upper,avg_viol_lower,metric_valid,paper_valid,fuel_improve_vs_no_pred_pct
no_prediction,info,4.5778559821781215,22.456600898949898,0.2629531014276994,0.016454166845234253,1.0,0.5,0.5,0.03613445378151261,0.009243697478991597,True,True,0.0
mean_prediction,info,7.384261312762655,21.147543200655885,0.5996418270376469,0.025197396513203445,0.9411764705882353,0.5,0.5,0.03482142857142857,0.02142857142857143,True,True,-61.30392352905037
pa_csac,info,5.479335253400743,23.625038754074037,0.49873320488285205,0.022365678434936323,0.9411764705882353,0.5015801662474033,0.49841983375259674,0.04375,0.016964285714285713,True,True,-19.692171941016415
pa_csac_no_adaptive,info,5.205671355008025,23.891954663735923,0.5048222879765818,0.02356833076399224,0.47058823529411764,0.5,0.5,0.039285714285714285,0.02857142857142857,True,False,-13.714179198166745
mechanism_pa_adaptive,mechanism,5.472096319915258,22.256570392847788,0.43898742049158535,0.020133748485112766,0.9411764705882353,0.4500000000000001,0.5499999999999999,0.045535714285714284,0.0125,True,True,-19.534042600258072
mechanism_w_o_adaptive_weights,mechanism,5.907936843870948,24.76783866323001,0.44522840743777725,0.023590124043890798,0.8823529411764706,0.5,0.5,0.0419047619047619,0.013333333333333334,True,True,-29.05466809945341
mechanism_w_o_dyn_dsafe,mechanism,5.659961542538041,22.97279792760655,0.4368836227870496,0.023566763935542814,0.8823529411764706,0.4500000000000001,0.55,0.02761904761904762,0.007619047619047619,True,True,-23.637824443858086
mechanism_w_o_ada_and_dsafe,mechanism,3.9505057617334596,23.52731008336644,0.3047506835854233,0.01672637699737854,1.0,0.5,0.5,0.05042016806722689,0.0067226890756302525,True,True,13.704018275956592
