config,method,n_seeds,fuel_mean,fuel_std,gap_mean,gap_std,vsr_mean,vsr_std,vr_mean,vr_std
eng_high,TD3,5,4.6823110535984,0.1857746093823418,34.02038145932602,1.6501672302064585,0.6235294117647059,0.052613364176465637,0.004753246753246753,0.001872112945692716
eng_high,SAC,5,4.850413993622216,0.3295886421267435,35.18655047558701,0.9494570656429633,0.5764705882352941,0.04921529567847503,0.0014978354978354977,0.0011299908342713644
eng_high,PA-CSAC,5,6.156852047589906,1.043843494858236,21.138627789729593,3.2160680782096756,0.9176470588235294,0.12197906678428069,0.025262605042016807,0.015601568653828918
eng_high,DDPG,5,6.673075702113903,4.464960442795147,29.565680851120014,8.42008551875272,0.5882352941176471,0.04159451654038516,0.03233477633477634,0.06533474432083318
eng_high,IDM,0,9.772435217853193,0.0,14.67740292520165,0.0,1.0,0.0,0.04201680672268908,0.0
eng_high,ACC,0,11.664616030181694,0.0,16.202852035478163,0.0,1.0,0.0,0.07142857142857142,0.0
eng_high,LQR,0,13.325525748353323,0.0,20.02765579394015,0.0,1.0,0.0,0.08739495798319329,0.0
eng_high,PPO,5,13.642520541106364,0.8685356538193341,17.034587298303762,0.7724744734037517,0.6941176470588235,0.09665692191267634,0.14622100122100123,0.01366291637041231
eng_high,MPC,0,14.441196061961406,0.0,19.352726136730894,0.0,1.0,0.0,0.10504201680672269,0.0
eng_high,PPO-Lag,5,17.68941569148247,8.37173467423296,22.430299696681054,12.809617010477556,0.6588235294117647,0.33637596365872463,0.1288697017268446,0.07209992518969588
eng_low,TD3,5,4.6823110535984,0.1857746093823418,34.02038145932602,1.6501672302064585,0.6235294117647059,0.052613364176465637,0.004753246753246753,0.001872112945692716
eng_low,SAC,5,4.850413993622216,0.3295886421267435,35.18655047558701,0.9494570656429633,0.5764705882352941,0.04921529567847503,0.0014978354978354977,0.0011299908342713644
eng_low,PA-CSAC,5,6.8493247797204955,1.5266714960051395,21.138627789729593,3.2160680782096756,0.9176470588235294,0.12197906678428069,0.025262605042016807,0.015601568653828918
eng_low,DDPG,5,7.433217880222733,6.164495366484046,29.565680851120014,8.42008551875272,0.5882352941176471,0.04159451654038516,0.03233477633477634,0.06533474432083318
eng_low,IDM,0,11.567282155549746,0.0,14.67740292520165,0.0,1.0,0.0,0.04201680672268908,0.0
eng_low,ACC,0,15.05952439244877,0.0,16.202852035478163,0.0,1.0,0.0,0.07142857142857142,0.0
eng_low,LQR,0,17.242797145026643,0.0,20.02765579394015,0.0,1.0,0.0,0.08739495798319329,0.0
eng_low,PPO,5,17.44269991839493,1.0835385969445557,17.034587298303762,0.7724744734037517,0.6941176470588235,0.09665692191267634,0.14622100122100123,0.01366291637041231
eng_low,MPC,0,18.806716148211255,0.0,19.352726136730894,0.0,1.0,0.0,0.10504201680672269,0.0
eng_low,PPO-Lag,5,20.928951183114656,6.565906961955706,22.430299696681054,12.809617010477556,0.6588235294117647,0.33637596365872463,0.1288697017268446,0.07209992518969588
eta_high,TD3,5,4.486287258151225,0.17655353874754248,34.03171328412624,1.6515477663434093,0.6235294117647059,0.052613364176465637,0.004753246753246732,0.0018721129456927123
eta_high,SAC,5,4.647987086229941,0.3157833647884898,35.18667803848213,0.9493934238926969,0.5764705882352941,0.04921529567847503,0.0014978354978354889,0.0011299908342713577
eta_high,PA-CSAC,5,6.231313731558717,1.2141362181297157,21.13749672238412,3.2162002148532762,0.9176470588235294,0.12197906678428069,0.02543067226890753,0.015830027099219005
eta_high,DDPG,5,6.761189035413095,5.097635436226063,29.5648108490322,8.420604408857617,0.5882352941176471,0.04159451654038516,0.03265223665223663,0.06604459052260972
eta_high,IDM,0,10.230247236332984,0.0,14.677402925201651,0.0,1.0,0.0,0.04201680672268904,0.0
eta_high,ACC,0,12.817755507529768,0.0,16.202852035478163,0.0,1.0,0.0,0.0714285714285714,0.0
eta_high,LQR,0,14.660302237451223,0.0,20.027655793940152,0.0,1.0,0.0,0.08739495798319324,0.0
eta_high,PPO,5,14.908161064511452,0.9352630372367114,17.034637590018896,0.7723982478301264,0.6941176470588235,0.09665692191267634,0.14622100122100118,0.013662916370412323
eta_high,MPC,0,15.945159339405196,0.0,19.352726136730894,0.0,1.0,0.0,0.10504201680672264,0.0
eta_high,PPO-Lag,5,18.51580387210572,7.150993625598595,22.430343540161523,12.809592155895652,0.6588235294117647,0.33637596365872463,0.1288697017268446,0.07209992518969587
eta_low,TD3,5,5.0686400864609285,0.20124928650558838,34.02148771573965,1.6503621527178272,0.6235294117647059,0.052613364176465637,0.004753246753246732,0.0018721129456927123
eta_low,SAC,5,5.250703807585895,0.35684118902380696,35.186308927513075,0.9495782838832622,0.5764705882352941,0.04921529567847503,0.0014978354978354889,0.0011299908342713577
eta_low,PA-CSAC,5,6.830753613230007,1.2286698662818907,21.09274058002648,3.14256617385966,0.9176470588235294,0.12197906678428069,0.025262605042016772,0.015601568653828906
eta_low,DDPG,5,7.4034605382140395,5.236034815911639,29.567227015122775,8.419117659394423,0.5882352941176471,0.04159451654038516,0.03233477633477631,0.06533474432083317
eta_low,IDM,0,11.004364221123964,0.0,14.677402925201651,0.0,1.0,0.0,0.04201680672268904,0.0
eta_low,ACC,0,13.426719319820094,0.0,16.202852035478163,0.0,1.0,0.0,0.0714285714285714,0.0
eta_low,LQR,0,15.349416649695982,0.0,20.027655793940152,0.0,1.0,0.0,0.08739495798319324,0.0
eta_low,PPO,5,15.666153837938495,0.9883131424383104,17.034524580048277,0.7725698471301987,0.6941176470588235,0.09665692191267634,0.14622100122100118,0.013662916370412323
eta_low,MPC,0,16.66508618700405,0.0,19.352726136730894,0.0,1.0,0.0,0.10504201680672264,0.0
eta_low,PPO-Lag,5,19.912238931493285,8.633969931723971,22.430245837163575,12.809647544873313,0.6588235294117647,0.33637596365872463,0.1288697017268446,0.07209992518969587
keq_high,TD3,5,5.618773264318079,0.22292953125880985,34.02038145932602,1.6501672302064585,0.6235294117647059,0.052613364176465637,0.004753246753246753,0.001872112945692716
keq_high,SAC,5,5.820496792346658,0.39550637055209253,35.18655047558701,0.9494570656429633,0.5764705882352941,0.04921529567847503,0.0014978354978354977,0.0011299908342713644
keq_high,PA-CSAC,5,7.3882224571078865,1.2526121938298833,21.138627789729593,3.2160680782096756,0.9176470588235294,0.12197906678428069,0.025262605042016807,0.015601568653828918
keq_high,DDPG,5,8.007690842536684,5.3579525313541785,29.565680851120014,8.42008551875272,0.5882352941176471,0.04159451654038516,0.03233477633477634,0.06533474432083318
keq_high,IDM,0,11.726922261423834,0.0,14.67740292520165,0.0,1.0,0.0,0.04201680672268908,0.0
keq_high,ACC,0,13.997539236218035,0.0,16.202852035478163,0.0,1.0,0.0,0.07142857142857142,0.0
keq_high,LQR,0,15.99063089802399,0.0,20.02765579394015,0.0,1.0,0.0,0.08739495798319329,0.0
keq_high,PPO,5,16.371024649327637,1.042242784583203,17.034587298303762,0.7724744734037517,0.6941176470588235,0.09665692191267634,0.14622100122100123,0.01366291637041231
