method,n_seeds,fuel_mean,fuel_std,gap_mean,gap_std,jerk_mean,jerk_std,vr_mean,vr_std,vsr_mean,vsr_std
Ablation_mean_prediction,5,5.731274249892634,1.53994870972119,20.76424004579799,6.173657680104237,0.3810267018711586,0.16628634040850301,0.016606060606060576,0.01713444687670011,0.9058823529411765,0.15339299776947407
Ablation_mechanism_pa_adaptive,5,5.849999864901106,1.0472010327278758,18.434803289636136,4.630912775842464,0.41020030586567013,0.1609515233142957,0.022202380952380918,0.014666722905631997,0.9176470588235294,0.12197906678428069
Ablation_mechanism_w_o_ada_and_dsafe,5,5.628515443233135,1.2312754916629278,22.551622779900192,7.230774208795649,0.3681024701416543,0.1416565962422166,0.018572447160682425,0.01678528059401639,0.8941176470588236,0.14646940703516154
Ablation_mechanism_w_o_adaptive_weights,5,6.008038147471571,0.4868663647900871,21.078974821322902,6.01393195378251,0.39345177458743,0.07000031041797744,0.016877450980392124,0.002999313290543522,0.9058823529411765,0.12197906678428068
Ablation_mechanism_w_o_dyn_dsafe,5,6.345849931148405,1.4976794138790073,21.102097531272882,6.8515082342645535,0.44360424765412354,0.19904662742024465,0.024675177763413027,0.02219969091842127,0.9411764705882353,0.10188534162169868
Ablation_no_prediction,5,6.535230485729497,1.5739980424418711,18.372765278021927,4.641198019794811,0.49045667715274527,0.17179694752941777,0.034194041252864744,0.022560332111989757,0.8941176470588236,0.1578400925293969
Ablation_pa_csac,5,5.7498043329538575,0.7835005427693864,18.380202928507323,5.651952293825603,0.43707674435862226,0.04781870285684752,0.016257703081232453,0.01191261233989233,0.8823529411764707,0.17149858514250882
Ablation_pa_csac_no_adaptive,5,5.9800493279355535,1.2323142260091409,19.834996450024043,5.858295372304529,0.43017953063452496,0.18468873554011253,0.021140756302520977,0.014037417557923587,0.8,0.22244318119045925
