method,n_seeds,sigma_emp_deploy,fuel_mean,fuel_std,gap_mean,gap_std,vsr_mean,vsr_std,vr_mean,vr_std
sigma_empirical,5,1.42586655853027,6.4201227651673545,1.242894242659229,20.701324042544382,2.974611332774981,0.9058823529411765,0.14764588703542508,0.025446906035141333,0.01625863799602918
sigma_learned,5,,6.433841140442143,1.2163779717414205,21.138627789729597,3.2160680782096773,0.9176470588235294,0.1219790667842806,0.0252626050420167,0.0156015686538289
