method,n_seeds,fuel_mean,fuel_std,gap_mean,gap_std,jerk_mean,jerk_std,vr_mean,vr_std,vsr_mean,vsr_std,shield_rate_valid_mean_mean,shield_rate_valid_mean_std,shield_rate_all_mean_mean,shield_rate_all_mean_std,rate_limit_rate_all_mean_mean,rate_limit_rate_all_mean_std
ErrorInjection_inj_base,5,6.4338411404421425,1.2163779717414203,21.138627789729593,3.2160680782096773,0.46533554965002233,0.08521678313454714,0.025262605042016772,0.015601568653828906,0.9176470588235294,0.12197906678428069,0.09954831932773105,0.01842221069054759,0.1058952811893988,0.028661134683395283,0.19872010342598573,0.0797937460519412
ErrorInjection_inj_bias_n05,5,6.532309518001346,1.2732271625919664,21.101919470501176,3.353470630077869,0.47129647247713385,0.11019873372128487,0.028256302521008376,0.017119069411478123,0.8941176470588236,0.17350448475003089,,,,,,
ErrorInjection_inj_bias_n10,5,6.46927996077343,1.3154530459910796,22.075971628640644,3.791256507408817,0.4538863704776671,0.110721907653012,0.028249299719887922,0.01799431033288723,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_inj_bias_p05,5,6.565515754704515,1.2561066350249037,21.12144480171895,3.023093790169722,0.4788482675812961,0.07751264853582697,0.026827731092436934,0.014525520238774493,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_inj_bias_p10,5,6.524669231013287,1.0008215738462647,21.075213204146188,3.8816507638365656,0.47425639477425313,0.07218287095159258,0.0283135981665393,0.014404180490344523,0.9058823529411765,0.14764588703542508,,,,,,
ErrorInjection_inj_combined,5,6.8536384475409005,1.1750583547359428,21.040127338423524,2.9960492089161974,0.5026591032033434,0.08800268360732241,0.02893988364576596,0.014745069505805689,0.9294117647058823,0.09665692191267639,,,,,,
ErrorInjection_inj_combined_mild,5,6.7598050720293985,1.233527157171446,21.213564054655013,3.080168513031268,0.48688584939713875,0.08908711685293014,0.02933823529411761,0.016009588831026263,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_inj_combined_severe,5,7.62097128363127,1.7464305877694706,20.361329629144368,1.9652042573532038,0.5575671730590691,0.11376593970789732,0.03704481792717083,0.02062112769258524,0.8823529411764707,0.1994802936213314,,,,,,
ErrorInjection_inj_residual_x0p5,5,6.403853148129679,1.1712199269754087,21.576129337052954,3.589373320308207,0.45939155015774,0.09399323620349984,0.026400560224089598,0.013252327012156088,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_inj_residual_x1p3,5,6.4049421868349175,1.220944884927426,21.008226016688056,3.277856474741781,0.46680518483259226,0.08423518641728009,0.025262605042016772,0.01605880827605042,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_inj_residual_x1p6,5,6.430531329357292,1.0848514285836839,21.52510479028489,3.648283239265244,0.4677898093706804,0.0854883607751059,0.024985994397759066,0.014481981711906554,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_inj_residual_x2p0,5,6.43681499145588,1.1223460179975677,21.131356482031315,3.336176347841546,0.4696153420531738,0.06901511777887862,0.02664215686274506,0.012735886700406325,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_inj_residual_x3p0,5,6.572611565468167,1.2476595562862165,21.29129579877802,3.6980243453121515,0.4725339043706171,0.07218446906169629,0.026785714285714253,0.014206326001736772,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_inj_sigma_x0p5,5,6.271279500841494,1.13723024542144,22.915448449731393,5.597125324687785,0.4234154092837323,0.11662199350822994,0.024350840336134414,0.015330256010478008,0.8941176470588236,0.17350448475003089,,,,,,
ErrorInjection_inj_sigma_x1p5,5,7.026687171008644,1.4769830137349658,21.502661579412926,3.0738326776372964,0.514959820048011,0.11510508176708108,0.029781512605041978,0.013403574143486053,0.8941176470588236,0.17350448475003089,,,,,,
ErrorInjection_inj_sigma_x2p0,5,6.889230391384801,1.1621260178821435,20.140918687152844,3.353933260560604,0.5153922472879058,0.12159454349938932,0.03089635854341733,0.017055965106425902,0.9176470588235294,0.12197906678428069,,,,,,
ErrorInjection_persistence,5,6.570972135471012,1.1416224561476598,21.810250539089775,3.484899407564993,0.4712148225546914,0.09783758312634551,0.02694136745607334,0.01403826609342356,0.9058823529411765,0.14764588703542508,0.10704163483575249,0.029260774815659953,0.11492997198879551,0.03536180206894614,0.1981232492997199,0.08011018391210004
