method,n_seeds,fuel_mean,fuel_std,gap_mean,gap_std,vsr_mean,vsr_std,vr_mean,vr_std
DDPG,5,6.9771325733574345,5.144758978384559,29.565680851120014,8.420085518752716,0.5882352941176471,0.04159451654038516,0.03233477633477631,0.06533474432083317
PA-CSAC,5,6.4338411404421425,1.2163779717414203,21.138627789729593,3.2160680782096773,0.9176470588235294,0.12197906678428069,0.025262605042016772,0.015601568653828906
SAC,5,4.850413993622216,0.3295886421267435,35.18655047558701,0.9494570656429648,0.5764705882352941,0.04921529567847503,0.0014978354978354889,0.0011299908342713577
TD3,5,4.6823110535984,0.1857746093823418,34.02038145932602,1.6501672302064585,0.6235294117647059,0.052613364176465637,0.004753246753246732,0.0018721129456927123
