steps,terminated_reason,collision,numeric_invalid,vr_hard,vr_wide,upper_rate,lower_rate,jerk_rate,ttc_rate,gap_rmse,shield_rate,rate_limit_rate,shield_delta_abs_mean,fuel_l_per_100km,distance_km,jerk_rmse,scenario_idx,group_idx,valid_legacy,valid_current,fail_channels
70,timeout,0,0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,14.18989795980112,0.1,0.7857142857142857,0.929907822574888,10.238931991959491,0.5889550579333304,0.8915591870303985,0,0,True,True,ok
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.16311395320378,0.1,0.6571428571428571,0.6601797159739903,8.564730788292952,0.7610620498633381,0.7353112058335118,1,1,True,True,ok
70,timeout,0,0,0.07142857142857142,0.07142857142857142,0.0,0.04285714285714286,0.02857142857142857,0.0,12.826420186586052,0.12857142857142856,0.7857142857142857,1.117150360436844,10.320165253781887,0.4580374523496628,1.0343049615630893,2,2,True,True,ok
70,timeout,0,0,0.08571428571428572,0.08571428571428572,0.0,0.08571428571428572,0.014285714285714285,0.0,11.198003702556203,0.12857142857142856,0.7142857142857143,1.1348006910681725,11.165260384854362,0.3694248854255676,1.0054966797678642,3,3,True,True,ok
70,timeout,0,0,0.12857142857142856,0.12857142857142856,0.0,0.07142857142857142,0.07142857142857142,0.0,10.860238965719171,0.12857142857142856,0.7857142857142857,1.32304517001978,13.147615106097776,0.2789271774387359,1.1196254709526712,4,4,True,True,ok
70,timeout,0,0,0.11428571428571428,0.11428571428571428,0.0,0.08571428571428572,0.07142857142857142,0.0,10.786356161585557,0.14285714285714285,0.7428571428571429,1.2488008053558215,12.2680625442057,0.32402829087257373,1.0796954478156267,5,5,True,True,ok
70,timeout,0,0,0.11428571428571428,0.11428571428571428,0.0,0.05714285714285714,0.1,0.0,6.831694552799012,0.14285714285714285,0.7857142857142857,1.685402474616255,25.596386704222823,0.07568744225025176,1.2567437975117788,6,6,True,True,ok
70,timeout,0,0,0.1,0.1,0.0,0.07142857142857142,0.07142857142857142,0.0,9.050086682033584,0.11428571428571428,0.7714285714285715,1.3828336645258321,17.331524308564124,0.17679489604949952,1.1691337230284196,7,7,True,True,ok
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.995135834068698,0.08571428571428572,0.7571428571428571,0.9062260363038097,9.16259949623974,0.670919899318218,0.8179345786301706,8,8,True,True,ok
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.614526253919756,0.12857142857142856,0.6714285714285714,0.6260191019979704,7.690595721751977,0.7008859744745489,0.7494759203142121,9,9,True,True,ok
70,timeout,0,0,0.02857142857142857,0.12857142857142856,0.1,0.02857142857142857,0.0,0.0,27.13393572387742,0.08571428571428572,0.7428571428571429,0.873202042562621,9.26150671059088,0.7356071991002554,0.7551944420409442,10,10,True,True,ok
70,timeout,0,0,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,13.28029198630937,0.11428571428571428,0.7428571428571429,0.810477168069354,8.457912301465429,0.6758081842827048,0.7798854976773862,11,11,True,True,ok
70,timeout,0,0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,12.194108899187816,0.08571428571428572,0.7714285714285715,0.9042666510897023,9.27092689433516,0.6755404750442501,0.8458831196574952,12,12,True,True,ok
70,timeout,0,0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,20.18963389508902,0.12857142857142856,0.5714285714285714,0.3821251673698425,7.101730992074298,0.9190999448877196,0.5696225937714955,13,13,True,True,ok
70,timeout,0,0,0.0,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,24.315167140349878,0.14285714285714285,0.5571428571428572,0.31592985034261695,5.847112122199541,0.928004993568957,0.5379913237571371,14,14,True,True,ok
70,timeout,0,0,0.014285714285714285,0.07142857142857142,0.05714285714285714,0.014285714285714285,0.0,0.0,18.909093855739478,0.11428571428571428,0.5571428571428572,0.42327000425117356,6.209293488645361,0.9605411652047187,0.6058178957590958,15,15,True,True,ok
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.97814397560214,0.12857142857142856,0.6,0.43788776037735594,6.702003070559366,0.8734920003973876,0.5730641231419038,16,16,True,True,ok
