steps,terminated_reason,collision,numeric_invalid,vr_hard,vr_wide,upper_rate,lower_rate,jerk_rate,ttc_rate,gap_rmse,shield_rate,rate_limit_rate,shield_delta_abs_mean,fuel_l_per_100km,distance_km,jerk_rmse,scenario_idx,group_idx,valid_legacy,valid_current,fail_channels
70,timeout,0,0,0.1,0.1,0.0,0.0,0.1,0.0,21.405613135836887,0.08571428571428572,0.7142857142857143,1.5540059429460336,14.773142826498415,0.5830677197647096,1.4979752206760617,0,0,True,True,ok
70,timeout,0,0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,13.150959936367563,0.014285714285714285,0.35714285714285715,0.30569371789693833,4.925492544425274,0.7734504914621173,0.6792080965139644,1,1,True,True,ok
70,timeout,0,0,0.08571428571428572,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,22.692100928300572,0.05714285714285714,0.7571428571428571,1.57909238581998,15.994779456434069,0.4400138988780976,1.434420559270566,2,2,True,True,ok
70,timeout,0,0,0.08571428571428572,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,20.292768421127736,0.04285714285714286,0.7857142857142857,1.7286288577147892,16.635441684546855,0.35193984783172644,1.4306260893113252,3,3,True,True,ok
70,timeout,0,0,0.08571428571428572,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,21.187510529429638,0.05714285714285714,0.7857142857142857,1.6760322764345579,18.838792570807463,0.27010547100782406,1.4321833912262638,4,4,True,True,ok
70,timeout,0,0,0.1,0.1,0.0,0.0,0.1,0.0,20.759104585687993,0.05714285714285714,0.7714285714285715,1.7162441138284543,16.81838171419433,0.3120911212730406,1.5258022260602395,5,5,True,True,ok
70,timeout,0,0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,4.951419118066995,0.04285714285714286,0.5571428571428572,0.8156604422668128,14.67392321214582,0.07968547474257648,0.8078289285362613,6,6,True,True,ok
70,timeout,0,0,0.07142857142857142,0.07142857142857142,0.0,0.02857142857142857,0.04285714285714286,0.0,14.625012302724205,0.05714285714285714,0.6,1.3513411766908,24.501500327295233,0.1615166958894581,1.068512776151877,7,7,True,True,ok
70,timeout,0,0,0.1,0.1,0.0,0.014285714285714285,0.1,0.0,20.246780176862064,0.08571428571428572,0.7428571428571429,1.534901378750801,14.40797549516567,0.658190783493519,1.5780000303086925,8,8,True,True,ok
70,timeout,0,0,0.08571428571428572,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,23.829505640053636,0.08571428571428572,0.7285714285714285,1.494304628772395,15.576884626352278,0.6670635142135618,1.3752630917132076,9,9,True,True,ok
70,timeout,0,0,0.1,0.2,0.1,0.0,0.1,0.0,29.84158065303975,0.08571428571428572,0.7428571428571429,1.5693986543528733,13.989606862424175,0.7289656289458274,1.5550126598648846,10,10,True,True,ok
70,timeout,0,0,0.11428571428571428,0.11428571428571428,0.0,0.0,0.11428571428571428,0.0,17.94672895522971,0.08571428571428572,0.7428571428571429,1.4888455293689455,13.63863119533939,0.6744371632575988,1.5782679652082925,11,11,True,True,ok
70,timeout,0,0,0.1,0.1,0.0,0.014285714285714285,0.1,0.0,19.649868514081096,0.1,0.7571428571428571,1.5594550835745675,14.4910191874674,0.6610604994249344,1.6235076059132905,12,12,True,True,ok
70,timeout,0,0,0.11428571428571428,0.18571428571428572,0.07142857142857142,0.0,0.11428571428571428,0.0,21.17814302496271,0.1,0.7857142857142857,1.4893574668850216,12.593384225585341,0.9110435860109326,1.5533480591799746,13,13,True,True,ok
70,timeout,0,0,0.1,0.2,0.1,0.014285714285714285,0.1,0.0,28.173656727480513,0.08571428571428572,0.7142857142857143,1.4565218466860905,14.294442515878417,0.9187859959101675,1.4795911008837723,14,14,True,True,ok
70,timeout,0,0,0.1,0.15714285714285714,0.05714285714285714,0.0,0.1,0.0,21.155565732557566,0.08571428571428572,0.7714285714285715,1.5286934385129385,13.56438581019841,0.9573405154132835,1.545284987226541,15,15,True,True,ok
70,timeout,0,0,0.11428571428571428,0.11428571428571428,0.0,0.014285714285714285,0.11428571428571428,0.0,19.383830115173897,0.08571428571428572,0.7142857142857143,1.4916852496521813,13.453598964626542,0.8832629683589929,1.616972063543118,16,16,True,True,ok
