steps,terminated_reason,collision,numeric_invalid,vr_hard,vr_wide,upper_rate,lower_rate,jerk_rate,ttc_rate,gap_rmse,shield_rate,rate_limit_rate,shield_delta_abs_mean,fuel_l_per_100km,distance_km,jerk_rmse,scenario_idx,group_idx,valid_legacy,valid_current,fail_channels
70,timeout,0,0,0.22857142857142856,0.22857142857142856,0.0,0.21428571428571427,0.07142857142857142,0.0,20.533579045345668,0.0,0.4714285714285714,0.9522857347215924,16.300558745791907,0.5831889302873617,1.1872705923547828,0,0,False,False,legacy:vr_wide;cur:vr_hard
70,timeout,0,0,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.05714285714285714,0.0,21.682263731789163,0.014285714285714285,0.4714285714285714,0.917714304787772,14.59615686877804,0.7719861507749561,1.1057150337400474,1,1,False,False,legacy:vr_wide;cur:vr_hard
70,timeout,0,0,0.2,0.2,0.0,0.2,0.07142857142857142,0.0,15.404853192661834,0.0,0.5428571428571428,1.0594285952704292,16.400154223288823,0.4524537486696248,1.1970630858360192,2,2,True,True,ok
70,timeout,0,0,0.15714285714285714,0.15714285714285714,0.0,0.14285714285714285,0.1,0.0,10.650541106999688,0.0,0.6428571428571429,1.2634286000388009,14.410821380821487,0.3726627035236362,1.3666894420090645,3,3,True,True,ok
70,timeout,0,0,0.12857142857142856,0.12857142857142856,0.0,0.11428571428571428,0.08571428571428572,0.0,10.865208359340757,0.0,0.7142857142857143,1.447714317730495,15.380568133992478,0.27608377457141897,1.3374197020645675,4,4,True,True,ok
70,timeout,0,0,0.2,0.2,0.0,0.18571428571428572,0.08571428571428572,0.0,15.322545263003901,0.0,0.5857142857142857,1.21628574017116,17.025967353227216,0.32135897029876737,1.26210256637165,5,5,True,True,ok
70,timeout,0,0,0.11428571428571428,0.11428571428571428,0.0,0.08571428571428572,0.1,0.0,6.219594783578004,0.0,0.8142857142857143,1.6528571810041153,28.467504012778832,0.08257724431514737,1.3882568804241713,6,6,True,True,ok
70,timeout,0,0,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.1,0.0,9.289231535410202,0.0,0.7142857142857143,1.5497143197740824,19.157161824219713,0.1753340400648117,1.3651645776233345,7,7,True,True,ok
70,timeout,0,0,0.18571428571428572,0.18571428571428572,0.0,0.17142857142857143,0.07142857142857142,0.0,20.49828079485818,0.0,0.5428571428571428,1.0594285952704292,14.508097874948653,0.6577263364934925,1.1747510479266652,8,8,True,True,ok
70,timeout,0,0,0.2,0.2,0.0,0.18571428571428572,0.07142857142857142,0.0,23.527071285260707,0.014285714285714285,0.4857142857142857,0.9868571612494333,15.49354411121106,0.701288712329865,1.2047619929631161,9,9,True,True,ok
70,timeout,0,0,0.18571428571428572,0.2857142857142857,0.1,0.15714285714285714,0.07142857142857142,0.0,28.23103390832509,0.0,0.5285714285714286,1.0534285894802637,14.76902847453834,0.7527660119175915,1.1507562777894753,10,10,False,True,legacy:vr_wide
70,timeout,0,0,0.17142857142857143,0.17142857142857143,0.0,0.14285714285714285,0.08571428571428572,0.0,17.225432284470934,0.0,0.5571428571428572,1.1117143102373395,13.75991973092445,0.6839678970241551,1.2602879587183684,11,11,True,True,ok
70,timeout,0,0,0.18571428571428572,0.18571428571428572,0.0,0.18571428571428572,0.07142857142857142,0.0,20.461431973008438,0.0,0.5,1.0182857360839843,14.640133011943322,0.6789996403169636,1.1907740709479298,12,12,True,True,ok
70,timeout,0,0,0.2,0.2714285714285714,0.07142857142857142,0.17142857142857143,0.08571428571428572,0.0,23.634515704779197,0.0,0.5285714285714286,1.0077143081937516,14.146578668006441,0.9277635510587691,1.235248972719588,13,13,False,True,legacy:vr_wide
70,timeout,0,0,0.2571428571428571,0.4,0.14285714285714285,0.2571428571428571,0.05714285714285714,0.0,33.50508788277678,0.02857142857142857,0.34285714285714286,0.6814285802841187,15.975146984331284,0.9240387645483017,1.0679593480544147,14,14,False,False,legacy:vr_wide;cur:vr_hard
70,timeout,0,0,0.1,0.15714285714285714,0.05714285714285714,0.08571428571428572,0.07142857142857142,0.0,20.255043048920502,0.02857142857142857,0.6285714285714286,1.2017143075125558,12.279982395651437,0.9618211207485199,1.235510315974579,15,15,True,True,ok
70,timeout,0,0,0.1,0.1,0.0,0.07142857142857142,0.05714285714285714,0.0,15.799021147830274,0.07142857142857142,0.7285714285714285,1.2800000187328884,10.634043602576632,0.8711161633825297,1.1648077797223622,16,16,True,True,ok
