n_scen,v_mean_kmh,t_mean_s,delay_kmh,fuel_l_per_h,fuel_l_100km,method,seed,basis
17,30.595429421698874,70.0,-1.146608892682251,3.8064286200306383,13.022579375088524,ACC,0,valid
17,30.595429421698874,70.0,-1.146608892682251,3.8064286200306383,13.022579375088524,ACC,0,all
17,30.619252038752126,70.0,-1.1704315097354976,4.5073756336457285,16.187404096461346,MPC,0,valid
17,30.619252038752126,70.0,-1.1704315097354976,4.5073756336457285,16.187404096461346,MPC,0,all
17,30.77379820638464,70.0,-1.32497767736801,4.480393849140499,15.622262000645996,MPC-L,0,valid
17,30.77379820638464,70.0,-1.32497767736801,4.480393849140499,15.622262000645996,MPC-L,0,all
17,30.348972229548007,70.0,-0.9001517005313763,4.20822465959282,14.892434307022652,LQR,0,valid
17,30.348972229548007,70.0,-0.9001517005313763,4.20822465959282,14.892434307022652,LQR,0,all
17,30.77490883904386,70.0,-1.3260883100272323,2.6665777451450006,10.490373992931817,IDM,0,valid
17,30.77490883904386,70.0,-1.3260883100272323,2.6665777451450006,10.490373992931817,IDM,0,all
