steps,terminated_reason,collision,numeric_invalid,vr_hard,vr_wide,upper_rate,lower_rate,jerk_rate,ttc_rate,gap_rmse,shield_rate,rate_limit_rate,shield_delta_abs_mean,fuel_l_per_100km,distance_km,jerk_rmse,scenario_idx,group_idx,valid_legacy,valid_current,fail_channels
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.860579818915486,0.0,0.0,0.0,2.752935795799813,0.5735802262964426,0.00010527993761664615,0,0,True,True,ok
70,timeout,0,0,0.0,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,36.69413351277207,0.32857142857142857,0.05714285714285714,0.12005606520072824,3.1480714289245677,0.7305446984262177,0.2968405305006665,1,1,True,True,ok
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.1984678558015,0.17142857142857143,0.05714285714285714,0.09432982493175329,3.0708363920962194,0.42790406550427657,0.2949199653615847,2,2,True,True,ok
70,timeout,0,0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,37.397401140781255,0.24285714285714285,0.05714285714285714,0.10863457410962189,3.428342462393652,0.3664316925811373,0.29487300046357806,3,3,True,True,ok
70,timeout,0,0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,23.407081446176424,0.12857142857142856,0.05714285714285714,0.07999861195434019,3.7487743628636827,0.26496936411279304,0.29292380199257,4,4,True,True,ok
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.579990698590716,0.3142857142857143,0.05714285714285714,0.08011793512759531,3.509213826251066,0.2956378622530869,0.2929196083608757,5,5,True,True,ok
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.04035311270313,0.3,0.05714285714285714,0.09718174540753745,18.848865934145277,0.03714496782114205,0.2957988549560596,6,6,True,True,ok
70,timeout,0,0,0.04285714285714286,0.2571428571428571,0.21428571428571427,0.04285714285714286,0.0,0.0,47.4959054802028,0.5714285714285714,0.05714285714285714,0.2634072850687828,11.244992387970207,0.09279829998787612,0.3164130898600211,7,7,False,False,legacy:vr_wide;cur:upper
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.27142304088897,0.12857142857142856,0.0,0.014322883419975238,2.907153758419935,0.6445162924341276,0.03380639967136792,8,8,True,True,ok
70,timeout,0,0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,32.147325907282244,0.5428571428571428,0.0,0.03156819863677291,3.187837332193472,0.6475667415509614,0.04780921777883227,9,9,True,True,ok
70,timeout,0,0,0.0,0.8857142857142857,0.8857142857142857,0.0,0.0,0.0,67.96355639408883,0.2571428571428571,0.0,0.00012269002909306436,2.6640862150286657,0.702285364804091,0.0005328402149222604,10,10,False,False,legacy:vr_wide;cur:upper;cur:gap
70,timeout,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.13664076041271,0.2714285714285714,0.04285714285714286,0.045474630186068156,2.850664580065225,0.6450862669569307,0.17717947656733488,11,11,True,True,ok
70,timeout,0,0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,49.065734297419084,0.44285714285714284,0.05714285714285714,0.14313246833002527,3.402890329631831,0.5990710790685201,0.2968359226495805,12,12,False,False,legacy:vr_wide;cur:upper
44,dropout,0,0,0.0,1.0,1.0,0.0,0.0,0.0,83.23934121925119,1.0,0.0,0.014298489808623511,2.891146556471782,0.4852292158126827,0.05222329678670936,13,13,False,False,dropout
18,dropout,0,0,0.0,1.0,1.0,0.0,0.0,0.0,93.43102573214415,0.7777777777777778,0.0,0.02271510269072476,3.1274007296930155,0.1930484043315286,0.09400732420452347,14,14,False,False,too_short;dropout
70,timeout,0,0,0.0,1.0,1.0,0.0,0.0,0.0,78.61502476298347,0.6571428571428571,0.0,0.006270180924163599,2.7906238251585087,0.8959043890330144,0.04781053171485856,15,15,False,False,legacy:vr_wide;cur:upper;cur:gap
70,timeout,0,0,0.0,0.4714285714285714,0.4714285714285714,0.0,0.0,0.0,51.5302062261148,0.08571428571428572,0.0,3.5964606545998584e-05,2.6809171579640005,0.8393055240655376,0.00014529425493786893,16,16,False,False,legacy:vr_wide;cur:upper;cur:gap
